GRB_name,GCN_number,email_date,email_time,ra,ra_unit,dec,dec_unit,error,error_unit,altitude_degrees,space_telescope,trigger_date,trigger_time_utc,obs_start_time_utc,obs_end_time_utc,trigger_offset_value,trigger_offset_unit,trigger_offset_relation,peak_count_per_sec,flux,flux_unit,fluence,fluence_unit,snr,magnitude,ra_deg,dec_deg,error_deg,date_code
251222a,43237,25/12/25,13:23:54,,,,,,,,SVOM,2025-12-22,17:07:10,,,84,seconds,after_trigger,,,,,,,,,,,251222
251222a,43236,25/12/25,09:54:37,,,,,,,,FERMI,,17:06:00,10:39,,17.55,hours,after_trigger,,,,,,,19.48,,,,251222
251222a,43233,25/12/24,14:24:34,,,,,,,,FERMI,,17:10:00,22:12:24,,1.21,days,after_trigger,,,,,,,20.68,,,,251222
251222a,43232,25/12/24,14:24:05,,,,,,,,EP,,15:12:45,21:27:09,,1.26,days,after_trigger,,,,,,,21.64,,,,251222
251222a,43229,25/12/24,11:03:12,,,,,,,,FERMI,,,TGRB+7.9h,,,,,,,,,,,19.28,,,,251222
251222a,43227,25/12/24,09:47:04,,,,,,,,OTHERS,,15:19:32,02:21:56,,1.46,days,after_trigger,,,,,,,,,,,251222
251222a,43225,25/12/24,08:20:51,,,,,,,,SVOM,,17:05:48,04:28,08:22,11.37,hours,after_trigger,,,,,,,19.39,,,,251222
251222a,43224,25/12/24,07:40:06,,,,,,,,FERMI,,17:05:55,18:56:19,,25.84,hours,after_trigger,,,,,,,19.55,,,,251222
251222a,43222,25/12/23,18:39:59,,,,,,,,FERMI,2025-12-22,17:05:51,,,,,,,,,1.09,erg cm^-2,,,,,,251222
251222a,43219,25/12/23,15:36:29,04h 15m 01.67s,hms,-00d 43m 08.5s,daa,,,,EP,2025-12-23,10:37:14,,,,,,,,,,,,16.3,63.75695833333333,0.7190277777777778,,251222
251222a,43216,25/12/23,14:23:50,62.5014,deg,-1.4795,deg,10,arcsec,,EP,2025-12-22,14:59:14,,,22,minutes,after_trigger,,,,,,,,62.5014,-1.4795,0.002777777777777778,251222
251222a,43215,25/12/23,14:13:35,77.1954,deg,-7.2139,deg,10,arcsec,,EP,2025-12-22,17:04:52,,,,,,,,,,,,,77.1954,-7.2139,0.002777777777777778,251222
251222a,43213,25/12/23,11:12:39,05h 08m 46.81s,hms,"-07d 12' 48.7""",daa,2.5,arcsec,,SWIFT,,,,,,,,0.0047,1.7e-13,erg cm^-2 s^-1,,,,,77.19504166666667,-7.213527777777778,0.0006944444444444445,251222
251222a,43212,25/12/23,10:34:06,,,,,,,,FERMI,,17:06:07,18:48:07,,1.7,hours,after_trigger,,,,,,,18.55,,,,251222
