GRB_name,GCN_number,email_date,email_time,ra,ra_unit,dec,dec_unit,error,error_unit,altitude_degrees,space_telescope,trigger_date,trigger_time_utc,obs_start_time_utc,obs_end_time_utc,trigger_offset_value,trigger_offset_unit,trigger_offset_relation,peak_count_per_sec,flux,flux_unit,fluence,fluence_unit,snr,magnitude,ra_deg,dec_deg,error_deg,date_code
251226a,43245,25/12/27,17:34:44,260.2,deg,47.0,deg,9.1,deg,,SVOM,2025-12-26,08:01:05,,,,,,,2.61,erg cm^-2 s^-1,4.33,erg cm^-2,,,260.2,47.0,9.1,251226
251226a,43244,25/12/27,17:22:35,260.2,deg,47.0,deg,9.1,deg,,SVOM,2025-12-26,08:01:02,,,,,,,,,,,,,260.2,47.0,9.1,251226
