GRB_name,GCN_number,email_date,email_time,ra,ra_unit,dec,dec_unit,error,error_unit,altitude_degrees,space_telescope,trigger_date,trigger_time_utc,obs_start_time_utc,obs_end_time_utc,trigger_offset_value,trigger_offset_unit,trigger_offset_relation,peak_count_per_sec,flux,flux_unit,fluence,fluence_unit,snr,magnitude,ra_deg,dec_deg,error_deg,date_code
260323a,44098,26/03/24,00:15:25,06h 02m 40.77s,hms,-72d 38m 38.2s,daa,,,,FERMI,2026-03-23,23:54:21,,,,,,,,,,,,20.1,90.669875,-72.64394444444446,,260323
260323a,44097,26/03/24,00:02:09,100.1,deg,-77.1,deg,5.5,deg,,FERMI,2026-03-23,23:51:27,,,,,,,,,,,,,100.1,-77.1,5.5,260323
